cpplint/samples/codelite-sample/src/pptable.cpp:93:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:93:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:93:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:94:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:95:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:96:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:96:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:96:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:97:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:98:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:99:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:99:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:100:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:100:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:100:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:101:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:102:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:103:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:105:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:106:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:107:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:107:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:107:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:108:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:109:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:110:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:111:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:111:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:112:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:112:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:112:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:113:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:114:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:115:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:116:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:116:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:116:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:117:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:118:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:119:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:119:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:120:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:120:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:120:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:121:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:122:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:123:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:124:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:124:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:125:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:125:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:125:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:126:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:127:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:128:  Tab found; better to use spaces  [whitespace/tab] [1]
